,name,type,category,power,accuracy,pp,description,probability%
467,Lunge,Bug,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.</td>","<td class=""cell-num"">100</td>"
468,Luster Purge,Psychic,Special,"<td class=""cell-num"">95</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">50</td>"
469,Mach Punch,Fighting,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">User attacks first.</td>","<td class=""cell-num"">—</td>"
470,Magic Coat,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Reflects moves that cause status conditions back to the attacker.</td>","<td class=""cell-num"">—</td>"
471,Magic Powder,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Changes target's type to Psychic.</td>","<td class=""cell-num"">—</td>"
472,Magic Room,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Suppresses the effects of held items for five turns.</td>","<td class=""cell-num"">—</td>"
473,Magical Leaf,Grass,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
474,Magical Torque,Fairy,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May confuse the opponent.</td>","<td class=""cell-num"">—</td>"
475,Magma Storm,Fire,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">75</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
476,Magnet Bomb,Steel,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
477,Magnet Rise,Electric,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User becomes immune to Ground-type moves for 5 turns.</td>","<td class=""cell-num"">—</td>"
478,Magnetic Flux,Electric,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises Defense and Sp. Defense of Plus/Minus Pokémon.</td>","<td class=""cell-num"">—</td>"
479,Magnitude,Ground,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Hits with random power.</td>","<td class=""cell-num"">—</td>"
480,Make It Rain,Steel,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Special Attack. Money is earned after the battle.</td>","<td class=""cell-num"">—</td>"
481,Malicious Moonsault,Dark,Physical,"<td class=""cell-num"">180</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Incineroar-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
482,Malignant Chain,Poison,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May poison the opponent.</td>","<td class=""cell-num"">—</td>"
483,Mat Block,Fighting,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects teammates from damaging moves.</td>","<td class=""cell-num"">—</td>"
484,Matcha Gotcha,Grass,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Deals damage, restores HP, may burn opponent.</td>","<td class=""cell-num"">20</td>"
485,Max Airstream,Flying,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Flying type Dynamax move. Raises the team's Speed.</td>","<td class=""cell-num"">100</td>"
486,Max Darkness,Dark,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Dark type Dynamax move. Lowers the target's Special Defense.</td>","<td class=""cell-num"">100</td>"
487,Max Flare,Fire,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Fire type Dynamax move. Summons harsh sunlight.</td>","<td class=""cell-num"">—</td>"
488,Max Flutterby,Bug,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Bug type Dynamax move. Lowers the target's Special Attack.</td>","<td class=""cell-num"">100</td>"
489,Max Geyser,Water,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Water type Dynamax move. Summons heavy rain.</td>","<td class=""cell-num"">—</td>"
490,Max Guard,Normal,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Status category Dynamax move. Protects the user.</td>","<td class=""cell-num"">—</td>"
491,Max Hailstorm,Ice,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Ice type Dynamax move. Summons hail.</td>","<td class=""cell-num"">—</td>"
492,Max Knuckle,Fighting,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Fighting type Dynamax move. Increases the team's Attack.</td>","<td class=""cell-num"">100</td>"
493,Max Lightning,Electric,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Electric type Dynamax move. Summons Electric Terrain.</td>","<td class=""cell-num"">—</td>"
494,Max Mindstorm,Psychic,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Psychic type Dynamax move. Summons Psychic Terrain.</td>","<td class=""cell-num"">—</td>"
495,Max Ooze,Poison,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Poison type Dynamax move. Increases the team's Special Attack.</td>","<td class=""cell-num"">100</td>"
496,Max Overgrowth,Grass,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Grass type Dynamax move. Summons Grassy Terrain.</td>","<td class=""cell-num"">—</td>"
497,Max Phantasm,Ghost,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Ghost type Dynamax move. Lowers the target's Defense.</td>","<td class=""cell-num"">100</td>"
498,Max Quake,Ground,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Ground type Dynamax move. Increases the team's Special Defense.</td>","<td class=""cell-num"">100</td>"
499,Max Rockfall,Rock,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Rock type Dynamax move. Summons a sandstorm.</td>","<td class=""cell-num"">—</td>"
500,Max Starfall,Fairy,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Fairy type Dynamax move. Summons Misty Terrain.</td>","<td class=""cell-num"">—</td>"
501,Max Steelspike,Steel,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Steel type Dynamax move. Raises the team's Defense.</td>","<td class=""cell-num"">100</td>"
502,Max Strike,Normal,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Normal type Dynamax move. Lowers the target's Speed.</td>","<td class=""cell-num"">100</td>"
503,Max Wyrmwind,Dragon,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Dragon type Dynamax move. Lowers the target's Attack.</td>","<td class=""cell-num"">100</td>"
504,Me First,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User copies the opponent's attack with 1.5× power.</td>","<td class=""cell-num"">—</td>"
505,Mean Look,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Opponent cannot flee or switch.</td>","<td class=""cell-num"">—</td>"
506,Meditate,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Raises user's Attack.</td>","<td class=""cell-num"">—</td>"
507,Mega Drain,Grass,Special,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
508,Mega Kick,Normal,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">75</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
509,Mega Punch,Normal,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
510,Megahorn,Bug,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
511,Memento,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User faints, sharply lowers opponent's Attack and Special Attack.</td>","<td class=""cell-num"">—</td>"
512,Menacing Moonraze Maelstrom,Ghost,Special,"<td class=""cell-num"">200</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Lunala-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
513,Metal Burst,Steel,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Deals damage equal to 1.5x opponent's attack.</td>","<td class=""cell-num"">—</td>"
514,Metal Claw,Steel,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">35</td>","<td class=""cell-long-text"">May raise user's Attack.</td>","<td class=""cell-num"">10</td>"
515,Metal Sound,Steel,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Sharply lowers opponent's Special Defense.</td>","<td class=""cell-num"">—</td>"
516,Meteor Assault,Fighting,Physical,"<td class=""cell-num"">150</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User must recharge next turn.</td>","<td class=""cell-num"">—</td>"
517,Meteor Beam,Rock,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.</td>","<td class=""cell-num"">—</td>"
518,Meteor Mash,Steel,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May raise user's Attack.</td>","<td class=""cell-num"">20</td>"
519,Metronome,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User performs almost any move in the game at random.</td>","<td class=""cell-num"">—</td>"
520,Mighty Cleave,Rock,Physical,"<td class=""cell-num"">95</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
521,Milk Drink,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User recovers half its max HP.</td>","<td class=""cell-num"">—</td>"
522,Mimic,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Copies the opponent's last move.</td>","<td class=""cell-num"">—</td>"
523,Mind Blown,Fire,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
524,Mind Reader,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User's next attack is guaranteed to hit.</td>","<td class=""cell-num"">—</td>"
525,Minimize,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Sharply raises user's Evasiveness.</td>","<td class=""cell-num"">—</td>"
526,Miracle Eye,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Resets opponent's Evasiveness, removes Dark's Psychic immunity.</td>","<td class=""cell-num"">—</td>"
527,Mirror Coat,Psychic,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">When hit by a Special Attack, user strikes back with 2x power.</td>","<td class=""cell-num"">—</td>"
528,Mirror Move,Flying,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User performs the opponent's last move.</td>","<td class=""cell-num"">—</td>"
529,Mirror Shot,Steel,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Accuracy.</td>","<td class=""cell-num"">30</td>"
530,Mist,Ice,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">User's stats cannot be changed for a period of time.</td>","<td class=""cell-num"">—</td>"
531,Mist Ball,Psychic,Special,"<td class=""cell-num"">95</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May lower opponent's Special Attack.</td>","<td class=""cell-num"">50</td>"
532,Misty Explosion,Fairy,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Power increases on Misty Terrain.</td>","<td class=""cell-num"">—</td>"
533,Misty Terrain,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects the field from status conditions for 5 turns.</td>","<td class=""cell-num"">—</td>"
534,Moonblast,Fairy,Special,"<td class=""cell-num"">95</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May lower opponent's Special Attack.</td>","<td class=""cell-num"">30</td>"
535,Moongeist Beam,Ghost,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Ignores the target's ability.</td>","<td class=""cell-num"">—</td>"
536,Moonlight,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User recovers HP. Amount varies with the weather.</td>","<td class=""cell-num"">—</td>"
537,Morning Sun,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User recovers HP. Amount varies with the weather.</td>","<td class=""cell-num"">—</td>"
538,Mortal Spin,Poison,Physical,"<td class=""cell-num"">30</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Removes entry hazards and trap move effects, and poisons opposing Pokémon.</td>","<td class=""cell-num"">—</td>"
539,Mountain Gale,Ice,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers user's Speed.</td>","<td class=""cell-num"">—</td>"
540,Mud Bomb,Ground,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Accuracy.</td>","<td class=""cell-num"">30</td>"
541,Mud Shot,Ground,Special,"<td class=""cell-num"">55</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Lowers opponent's Speed.</td>","<td class=""cell-num"">100</td>"
542,Mud Sport,Ground,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Weakens the power of Electric-type moves.</td>","<td class=""cell-num"">—</td>"
543,Mud-Slap,Ground,Special,"<td class=""cell-num"">20</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>","<td class=""cell-num"">100</td>"
544,Muddy Water,Water,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Accuracy.</td>","<td class=""cell-num"">30</td>"
545,Multi-Attack,Normal,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Type matches Memory item held.</td>","<td class=""cell-num"">—</td>"
546,Mystical Fire,Fire,Special,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>","<td class=""cell-num"">100</td>"
547,Mystical Power,Psychic,Special,"<td class=""cell-num"">70</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises user's Special Attack.</td>","<td class=""cell-num"">—</td>"
548,Nasty Plot,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply raises user's Special Attack.</td>","<td class=""cell-num"">—</td>"
549,Natural Gift,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Power and type depend on the user's held berry.</td>","<td class=""cell-num"">—</td>"
550,Nature Power,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Uses a certain move based on the current terrain.</td>","<td class=""cell-num"">—</td>"
551,Nature's Madness,Fairy,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Halves the foe's HP.</td>","<td class=""cell-num"">—</td>"
552,Needle Arm,Grass,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
553,Never-Ending Nightmare,Ghost,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Ghost type Z-Move.</td>","<td class=""cell-num"">—</td>"
554,Night Daze,Dark,Special,"<td class=""cell-num"">85</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Accuracy.</td>","<td class=""cell-num"">40</td>"
555,Night Shade,Ghost,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Inflicts damage equal to user's level.</td>","<td class=""cell-num"">—</td>"
556,Night Slash,Dark,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
557,Nightmare,Ghost,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">The sleeping opponent loses 25% of its max HP each turn.</td>","<td class=""cell-num"">—</td>"
558,No Retreat,Fighting,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Raises all stats but user cannot switch out.</td>","<td class=""cell-num"">100</td>"
559,Noble Roar,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Lowers opponent's Attack and Special Attack.</td>","<td class=""cell-num"">100</td>"
560,Noxious Torque,Poison,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May poison the opponent.</td>","<td class=""cell-num"">—</td>"
561,Nuzzle,Electric,Physical,"<td class=""cell-num"">20</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Paralyzes opponent.</td>","<td class=""cell-num"">100</td>"
562,Oblivion Wing,Flying,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User recovers most of the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
563,Obstruct,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects the user and sharply lowers Defence on contact.</td>","<td class=""cell-num"">—</td>"
564,Oceanic Operetta,Water,Special,"<td class=""cell-num"">195</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Primarina-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
565,Octazooka,Water,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Accuracy.</td>","<td class=""cell-num"">50</td>"
566,Octolock,Fighting,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.</td>","<td class=""cell-num"">—</td>"
567,Odor Sleuth,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.</td>","<td class=""cell-num"">—</td>"
568,Ominous Wind,Ghost,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May raise all user's stats at once.</td>","<td class=""cell-num"">10</td>"
569,Order Up,Dragon,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Boosts Attack/Defense/Speed depending on ally Tatsugiri.</td>","<td class=""cell-num"">—</td>"
570,Origin Pulse,Water,Special,"<td class=""cell-num"">110</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits all adjacent opponents.</td>","<td class=""cell-num"">—</td>"
571,Outrage,Dragon,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User attacks for 2-3 turns but then becomes confused.</td>","<td class=""cell-num"">—</td>"
572,Overdrive,Electric,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits all adjacent opponents.</td>","<td class=""cell-num"">—</td>"
573,Overheat,Fire,Special,"<td class=""cell-num"">130</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>","<td class=""cell-num"">100</td>"
574,Pain Split,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">The user's and opponent's HP becomes the average of both.</td>","<td class=""cell-num"">—</td>"
575,Parabolic Charge,Electric,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
576,Parting Shot,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Attack and Special Attack then switches out. </td>","<td class=""cell-num"">100</td>"
577,Pay Day,Normal,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Money is earned after the battle.</td>","<td class=""cell-num"">—</td>"
578,Payback,Dark,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power doubles if the user was attacked first.</td>","<td class=""cell-num"">—</td>"
579,Peck,Flying,Physical,"<td class=""cell-num"">35</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">35</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
580,Perish Song,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Any Pokémon in play when this attack is used faints in 3 turns.</td>","<td class=""cell-num"">—</td>"
581,Petal Blizzard,Grass,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits all adjacent Pokémon.</td>","<td class=""cell-num"">—</td>"
582,Petal Dance,Grass,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User attacks for 2-3 turns but then becomes confused.</td>","<td class=""cell-num"">—</td>"
583,Phantom Force,Ghost,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Disappears on first turn, attacks on second. Can strike through Protect/Detect.</td>","<td class=""cell-num"">—</td>"
584,Photon Geyser,Psychic,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Uses Attack or Special Attack stat, whichever is higher.</td>","<td class=""cell-num"">—</td>"
585,Pika Papow,Electric,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Power increases when player's bond is stronger.</td>","<td class=""cell-num"">—</td>"
586,Pin Missile,Bug,Physical,"<td class=""cell-num"">25</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
